what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1238483684492
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.context.ui,1238483684492
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.help.ui,1238483684561
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.bugs,1238483684562
stopped,bundle,org.eclipse.mylyn.jira.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.jira.ui,1238483684562
stopped,bundle,org.eclipse.mylyn.trac.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.trac.ui,1238483684562
stopped,bundle,org.eclipse.mylyn.web.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.web.tasks,1238483684562
stopped,bundle,com.itsolut.mantis.ui,3.0.0.200808060950,com.itsolut.mantis.ui,1238483684562
stopped,bundle,com.itsolut.mantis.core,3.0.0.200808060950,com.itsolut.mantis.core,1238483684562
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1238483684562
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1238483684617
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200809120802,org.eclipse.cdt.make.ui,1238483684617
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1238483684617
stopped,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1238483684617
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1238483684617
stopped,bundle,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui,1238483684617
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1238483684617
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1238483684683
stopped,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20080422,org.eclipse.jdt.launching.macosx,1238483684683
stopped,bundle,com.mountainminds.eclemma.ui,1.3.2,com.mountainminds.eclemma.ui,1238483684683
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1238483684683
stopped,bundle,org.tigris.subversion.subclipse.ui,1.4.5,org.tigris.subversion.subclipse.ui,1238483684683
stopped,bundle,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui,1238483684683
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1238483684783
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.103.v200809101755,org.eclipse.wst.xsd.ui,1238483684969
